ETL_LOAD_DATE,ETL_LOAD_IS_ACTIVE_FLAG,CTY_SCR_DAY_AGG,CTY_SCR_WEEK_AGG,CTY_SCR_MONTH_AGG,CTY_SCR_QUARTER_AGG
2019-02-19 00:00:00,N,1.1299894,.9506764,1.4129868,1.2213018
2016-10-10 00:00:00,N,1.0610270,1.0994613,1.1863131,1.2897361
2018-01-04 00:00:00,N,1.0365781,1.0639783,1.1491514,1.1756707
2016-05-23 00:00:00,N,1.1098254,1.2242992,1.6897472,1.6410592
2017-08-17 00:00:00,N,1.0759366,1.1443397,1.2548948,1.1729202
2016-12-06 00:00:00,N,1.0600334,1.2081514,1.2772402,1.2191597
2018-03-02 00:00:00,N,1.1557922,1.0439442,1.2021412,1.1747964
2016-07-19 00:00:00,N,1.1691625,1.2042581,1.5070898,1.2544360
2017-10-13 00:00:00,N,1.1374329,1.0985248,1.2334197,1.1790596
2017-02-01 00:00:00,N,1.2433951,1.1085982,1.5851818,1.3008076
2016-09-14 00:00:00,N,1.0606362,1.2549480,1.2252116,1.3077711
2019-03-05 00:00:00,N,1.2264143,1.3181199,1.3929334,1.2861246
2017-03-30 00:00:00,N,1.0484198,1.0924369,1.7664944,1.4550601
2016-11-10 00:00:00,N,1.2144372,1.1771865,1.2338516,1.2190558
2016-03-01 00:00:00,N,1.1056682,1.1645847,1.4830601,1.3399816
2018-08-20 00:00:00,N,1.0779750,1.3090264,1.2494446,1.2283809
2017-05-26 00:00:00,N,1.0585947,1.0874776,1.1449572,1.2366866
2017-01-06 00:00:00,N,1.0415657,1.2784374,1.3245184,1.2089853
2018-04-02 00:00:00,N,.9556898,1.1227355,1.6221116,1.2491414
2018-10-16 00:00:00,N,1.0466163,1.0363121,1.0443892,1.1571182
2018-05-29 00:00:00,N,1.3865437,1.5270715,1.2733468,1.2586600
2016-01-18 00:00:00,N,1.3919104,1.4535257,1.4590098,1.4566474
2018-12-12 00:00:00,N,1.1375689,1.1888322,1.1469361,1.1924422
2018-07-25 00:00:00,N,1.0832724,1.3927923,1.2001162,1.1908735
2019-02-07 00:00:00,N,1.0397364,1.8024122,1.3190037,1.2143874
2016-03-15 00:00:00,N,1.1932722,1.1417344,1.4781514,1.3989240
2017-11-13 00:00:00,N,1.1031403,1.2873958,1.2117519,1.1787053
2018-09-20 00:00:00,N,.9323789,1.1140736,1.2425237,1.2227639
2017-01-20 00:00:00,N,1.1930116,1.2301958,1.3927824,1.2395835
2016-05-11 00:00:00,N,1.1724593,1.2199519,1.7004417,1.4348941
2018-01-09 00:00:00,N,1.0470035,1.2993797,1.1565225,1.1714242
2019-04-05 00:00:00,N,1.1153644,1.1012127,1.1414138,1.4100195
2018-11-16 00:00:00,N,1.0217818,1.1079169,1.1217982,1.1883222
2016-07-07 00:00:00,N,1.0235088,1.2399582,1.2786028,1.2841612
2018-03-07 00:00:00,N,1.1533685,1.0705773,1.2635283,1.1698781
2016-02-18 00:00:00,N,1.1289141,1.0363400,1.5648580,1.3100800
2018-05-03 00:00:00,N,1.0211630,1.1217031,1.2314709,1.2099923
2016-09-02 00:00:00,N,1.1912908,1.2534741,1.2593378,1.2876576
2016-04-15 00:00:00,N,1.0630406,1.2943211,1.3986319,1.4834883
2017-07-10 00:00:00,N,1.1316620,1.1009635,1.1083084,1.1299226
2018-01-23 00:00:00,N,1.1909495,1.1513258,1.0911879,1.1582197
2017-09-05 00:00:00,N,1.3394285,1.2829516,1.1867874,1.1691137
2018-03-21 00:00:00,N,1.1096550,1.2050301,1.6212281,1.2288051
2017-11-01 00:00:00,N,1.1760186,1.1974694,1.2437434,1.1645792
2017-02-20 00:00:00,N,1.1293908,1.2010165,1.3748024,1.3840123
2018-05-17 00:00:00,N,1.1675396,1.1325900,1.2364544,1.2221008
2017-03-09 00:00:00,N,1.0392337,1.3248044,1.6155695,1.3656626
2016-06-28 00:00:00,N,1.1634665,1.1630598,1.1306949,1.2654407
2018-12-17 00:00:00,N,.9654636,1.2454856,1.1155977,1.2081877
2017-09-22 00:00:00,N,1.1234465,.9964401,1.2150460,1.1548078
2018-07-30 00:00:00,N,1.1647625,1.2130923,1.1757435,1.1909882
2017-05-05 00:00:00,N,1.1581483,1.1768960,1.1499819,1.3132517
2016-08-24 00:00:00,N,1.2544545,1.2242109,1.3912285,1.3057535
2019-02-12 00:00:00,N,.9381093,.9775527,1.3409985,1.2117927
2018-09-25 00:00:00,N,1.2081274,1.0793225,1.3612535,1.2356216
2016-05-16 00:00:00,N,1.2211784,1.1931329,1.4893392,1.5275572
2019-04-10 00:00:00,N,1.0274874,1.1363495,1.6066005,1.3625455
2018-11-21 00:00:00,N,1.0886343,1.1591154,1.9725859,1.1671034
2016-07-12 00:00:00,N,1.0308533,1.2834808,1.2619467,1.2707024
2018-03-12 00:00:00,N,1.0165453,1.6021256,1.2816695,1.2025354
2016-02-23 00:00:00,N,1.1772135,1.3701908,1.4451917,1.3158443
2019-01-17 00:00:00,N,1.0659205,1.3094921,1.1720810,1.2320771
2017-05-19 00:00:00,N,1.0985398,1.1065012,1.0974612,1.2082440
2016-09-07 00:00:00,N,1.2981931,1.1955198,1.3017434,1.3206834
2018-05-08 00:00:00,N,1.0800919,1.0992873,1.2279451,1.2068102
2016-04-20 00:00:00,N,1.1591966,1.9351024,1.3889974,1.4702837
2019-03-15 00:00:00,N,.9656890,1.1982592,1.4215213,1.2919402
2018-07-04 00:00:00,N,1.1181040,1.1419356,1.2440955,1.1997256
2016-11-03 00:00:00,N,1.1945818,1.2170376,1.2115346,1.2326990
2016-06-16 00:00:00,N,1.0940519,1.1513306,1.2740384,1.3318329
2016-12-30 00:00:00,N,1.1670924,1.4048740,1.2479555,1.2102583
2018-08-30 00:00:00,N,1.0766620,1.2557053,1.3988100,1.2280580
2016-08-12 00:00:00,N,1.1849992,1.2478162,1.1374506,1.3047217
2017-11-06 00:00:00,N,.9258127,1.4733830,1.2354510,1.1604138
2018-05-22 00:00:00,N,1.0992534,1.2518190,1.1883376,1.2166227
2018-01-02 00:00:00,N,1.2741456,1.2035752,1.1660202,1.1806313
2018-07-18 00:00:00,N,1.1717305,1.1565893,1.2162158,1.2147776
2016-01-28 00:00:00,N,1.2416108,1.2611498,1.4870146,1.3632851
2018-02-28 00:00:00,N,1.1645150,1.1443520,1.1915553,1.1724212
2018-09-13 00:00:00,N,1.0131083,1.3653152,1.3469760,1.2490818
2016-03-25 00:00:00,N,1.2229244,1.2711248,1.1874491,1.4064841
2017-06-19 00:00:00,N,1.1110695,1.0752673,1.7819173,1.2158740
